"MonitoringStation","SampleDate","SampleTime","Latitude","Longitude","TN","TP","TSS"
"CCM0069",2022-02-10,"09:58:00",38.44167,-75.90556,2.401,0.1067,18
"CCM0069",2022-01-11,"10:15:00",38.44167,-75.90556,2.023,0.1588,23
"CCM0069",2022-03-17,"09:35:00",38.44167,-75.90556,2.576,0.1484,46
"CCM0069",2021-07-14,"09:12:00",38.44167,-75.90556,1.783,0.2141,20
"CCM0069",2021-06-10,"08:54:00",38.44167,-75.90556,2.046,0.2477,29
"CCM0069",2021-12-06,"10:58:00",38.44167,-75.90556,1.741,0.1184,33
"CCM0069",2021-05-13,"09:19:00",38.44167,-75.90556,2.24,0.2146,38
"CCM0069",2021-10-13,"09:32:00",38.44167,-75.90556,1.424,0.0876,12
"CCM0069",2021-11-10,"09:41:00",38.44167,-75.90556,1.573,0.0937,20
"CCM0069",2021-09-15,"09:35:00",38.44167,-75.90556,1.66,0.199,16
"CCM0069",2021-08-11,"08:56:00",38.44167,-75.90556,2.27,0.1777,26
"CCM0069",2021-03-15,"09:23:00",38.44167,-75.90556,3.167,0.1136,20
"CCM0069",2021-02-10,"09:13:00",38.44167,-75.90556,2.364,0.0494,2.4
"CCM0069",2020-08-19,"09:48:00",38.44167,-75.90556,1.517,0.1458,12.7
"CCM0069",2021-01-13,"09:35:00",38.44167,-75.90556,2.2899,0.0593,2.4
"CCM0069",2021-04-14,"09:24:00",38.44167,-75.90556,1.861,0.1245,22
"CCM0069",2020-07-14,"08:50:00",38.44167,-75.90556,1.978,0.2698,38
"CCM0069",2020-12-08,"09:05:00",38.44167,-75.90556,1.607,0.1186,7
"CCM0069",2020-11-23,"09:21:00",38.44167,-75.90556,2.475,0.1814,18
"CCM0069",2020-10-15,"09:35:00",38.44167,-75.90556,1.72,0.1227,9
"CCM0069",2020-09-14,"11:59:00",38.44167,-75.90556,1.97,0.1691,24
"CCM0069",2013-12-12,"10:59:00",38.44167,-75.90556,1.609,0.1331,9
"CCM0069",2020-06-15,"09:30:00",38.44167,-75.90556,2.34,0.2095,38
"CCM0069",2020-02-03,"08:57:00",38.44167,-75.90556,1.278,0.0751,10.5
"CCM0069",2013-10-17,"10:30:00",38.44167,-75.90556,1.408,0.0695,12
