"MonitoringStation","SampleDate","SampleTime","Parameter","MeasureValue","Unit","Latitude","Longitude"
"CCM0069",2008-11-18,"09:30:00","TN",1.307,"MG/L",38.44167,-75.90556
"CCM0069",2008-10-21,"11:06:00","TN",1.08,"MG/L",38.44167,-75.90556
"CCM0069",2008-09-16,"10:02:00","TN",2.11,"MG/L",38.44167,-75.90556
"CCM0069",2008-08-14,"09:53:00","TN",2.29,"MG/L",38.44167,-75.90556
"CCM0069",2008-07-07,"15:15:00","TN",1.898,"MG/L",38.44167,-75.90556
"CCM0069",2008-06-09,"09:50:00","TN",1.596,"MG/L",38.44167,-75.90556
"CCM0069",2008-05-12,"11:18:00","TN",1.551,"MG/L",38.44167,-75.90556
"CCM0069",2008-04-14,"11:02:00","TN",1.491,"MG/L",38.44167,-75.90556
"CCM0069",2008-01-14,"10:52:00","TN",1.835,"MG/L",38.44167,-75.90556
"CCM0069",2008-03-17,"09:35:00","TN",1.736,"MG/L",38.44167,-75.90556
"CCM0069",2008-02-11,"09:55:00","TN",1.434,"MG/L",38.44167,-75.90556
"CCM0069",2007-12-13,"09:07:00","TN",2,"MG/L",38.44167,-75.90556
"CCM0069",2007-11-05,"10:26:00","TN",1.538,"MG/L",38.44167,-75.90556
"CCM0069",2007-09-18,"12:00:00","TN",2.18,"MG/L",38.44167,-75.90556
"CCM0069",2007-10-15,"10:25:00","TN",1.737,"MG/L",38.44167,-75.90556
"CCM0069",2007-08-20,"10:50:00","TN",2.17,"MG/L",38.44167,-75.90556
"CCM0069",2007-07-12,"08:47:00","TN",2.1,"MG/L",38.44167,-75.90556
"CCM0069",2007-06-19,"15:00:00","TN",1.479,"MG/L",38.44167,-75.90556
"CCM0069",2006-05-11,"09:56:00","TN",1.369,"MG/L",38.44167,-75.90556
"CCM0069",2007-04-17,"10:00:00","TN",1.901,"MG/L",38.44167,-75.90556
"CCM0069",2007-05-08,"13:15:00","TN",2.229,"MG/L",38.44167,-75.90556
"CCM0069",2007-03-13,"12:25:00","TN",2.274,"MG/L",38.44167,-75.90556
"CCM0069",2007-02-20,"09:49:00","TN",3.057,"MG/L",38.44167,-75.90556
"CCM0069",2007-01-08,"12:05:00","TN",1.878,"MG/L",38.44167,-75.90556
"CCM0069",2006-12-14,"09:11:00","TN",2.615,"MG/L",38.44167,-75.90556
"CCM0069",2006-11-13,"09:07:00","TN",2.016,"MG/L",38.44167,-75.90556
